City1,City2,Points
Boston,Miami,12
Calgary,Phoenix,13
Calgary,SaltLakeCity,7
Chicago,NewOrleans,7
Chicago,SantaFe,9
Dallas,NewYork,11
Denver,ElPaso,4
Denver,Pittsburgh,	11
Duluth,ElPaso,	10
Duluth,Houston,8
Helena,LosAngeles,8
KansasCity,Houston,5
LosAngeles,Chicago,	16
LosAngeles,Miami,	20
LosAngeles,NewYork,	21
Montreal,Atlanta,9
Montreal,NewOrleans,	13
NewYork,Atlanta,6
Portland,Nashville,	17
Portland,Phoenix,	11
SanFrancisco,Atlanta,	17
SaultStMarie,Nashville,8
SaultStMarie,OklahomaCity,9
Seattle,LosAngeles,9
Seattle,NewYork,	22
Toronto,Miami,	10
Vancouver,Montreal,	20
Vancouver,SantaFe,	13
Winnipeg,Houston,	12
Winnipeg,LittleRock,	11
